competitionCode,homeShortName,awayShortName,matchday,kickoffAt,status,homeScore,awayScore,homeTries,awayTries
TOP14,VAN,UBB,2,2025-09-13T16:00:00,FINISHED,17,34,2,5
TOP14,ASM,TOU,2,2025-09-13T21:05:00,FINISHED,22,29,2,4
TOP14,CAS,TOL,2,2025-09-14T17:00:00,FINISHED,19,26,2,3
TOP14,BAY,LAR,2,2025-09-14T21:05:00,FINISHED,24,21,3,2
TOP14,PAU,RAC,2,2025-09-14T15:00:00,FINISHED,20,33,2,5
TOP14,MHR,SFP,2,2025-09-14T18:30:00,FINISHED,28,28,3,3
TOP14,USAP,LOU,2,2025-09-13T18:30:00,FINISHED,14,31,2,4
TOP14,TOU,UBB,3,2025-09-20T21:05:00,SCHEDULED,,,,
TOP14,LAR,ASM,3,2025-09-20T16:00:00,SCHEDULED,,,,
TOP14,SFP,TOL,3,2025-09-21T21:05:00,SCHEDULED,,,,
TOP14,RAC,BAY,3,2025-09-21T17:00:00,SCHEDULED,,,,
TOP14,CAS,VAN,3,2025-09-21T15:00:00,SCHEDULED,,,,
TOP14,PAU,MHR,3,2025-09-20T18:30:00,SCHEDULED,,,,
TOP14,LOU,USAP,3,2025-09-21T21:05:00,SCHEDULED,,,,
TOP14,UBB,LAR,4,2025-09-27T21:05:00,SCHEDULED,,,,
TOP14,TOU,SFP,4,2025-09-27T16:00:00,SCHEDULED,,,,
TOP14,TOL,RAC,4,2025-09-28T21:05:00,SCHEDULED,,,,
TOP14,ASM,CAS,4,2025-09-28T17:00:00,SCHEDULED,,,,
TOP14,VAN,PAU,4,2025-09-28T15:00:00,SCHEDULED,,,,
TOP14,BAY,USAP,4,2025-09-27T18:30:00,SCHEDULED,,,,
TOP14,MHR,LOU,4,2025-09-28T21:05:00,SCHEDULED,,,,
