competitionCode,teamShortName,playerName,type,note
PROD2,AGE,Arnaud Duputs,INJURED,
PROD2,AGE,Denis Marchois,INJURED,
PROD2,AGE,Enzo Sérieyssol,INJURED,
PROD2,AGE,Florent Guion,INJURED,
PROD2,AGE,Louis Dupichot,INJURED,
PROD2,AGE,William Demotte,INJURED,
PROD2,AIX,Teimana Harrison,INJURED,
PROD2,ANG,Corentin Glénat,INJURED,
PROD2,ANG,Germain Burgaud,INJURED,
PROD2,ANG,Jules Dubecq,INJURED,
PROD2,AUR,Didier Tison,INJURED,
PROD2,AUR,Enzo Marzocca,INJURED,
PROD2,AUR,Ofa Manuofetoa,INJURED,
PROD2,AUR,Paul Dauguet,INJURED,
PROD2,AUR,Ruben Courtiès,INJURED,
PROD2,BRI,Anthony Coletta,INJURED,
PROD2,BRI,Asaeli Tuivuaka,INJURED,
PROD2,BRI,Eto Bainivalu,INJURED,
PROD2,BRI,Julien Tisseron,INJURED,
PROD2,BRI,Marcel Van Der Merwe,INJURED,
PROD2,BRI,Mathis Galthié,INJURED,
PROD2,BRI,Retief Marais,INJURED,
PROD2,BRI,Simoté Moala,INJURED,
PROD2,BRI,Taniela Sadrugu,INJURED,
PROD2,DAX,Charlie Matthews,INJURED,
PROD2,DAX,Diogo Hasse Ferreira,INJURED,
PROD2,DAX,Hugo Cerisier,INJURED,
PROD2,DAX,Hugo Fourquet,INJURED,
PROD2,DAX,Théo Gatelier,INJURED,
PROD2,DAX,Théo Mercadier,INJURED,
PROD2,GRE,Marc Palmier,INJURED,
PROD2,GRE,Raffaele Costa Storti,SUSPENDED,
PROD2,MTB,Maël Castel,INJURED,
PROD2,NAR,Aphiwe Dyantyi,INJURED,
PROD2,NAR,Hugo Clauzel,INJURED,
PROD2,NEV,Herman Coetzee,INJURED,
PROD2,NEV,Rati Zazadze,INJURED,
PROD2,NEV,Wendemi Viellard,INJURED,
PROD2,NIC,Masivesi Dakuwaqa,INJURED,
