competitionCode,teamShortName,playerName,matchday,homeShortName,awayShortName,jerseyNumber,minutesPlayed,tries,yellowCards,redCards
TOP14,TOU,Benjamin BERTRAND,1,TOU,LAR,17,29,,,
TOP14,TOU,Benjamin BERTRAND,3,TOU,MHR,18,34,,,
TOP14,TOU,Benjamin BERTRAND,4,TOU,CAS,18,28,,,
TOP14,TOU,Benjamin BERTRAND,5,TOU,BAY,1,41,,,
TOP14,TOU,Benjamin BERTRAND,10,TOU,MTB,1,49,,,
TOP14,TOU,Benjamin BERTRAND,11,TOU,RAC,17,32,,,
TOP14,TOU,Benjamin BERTRAND,12,TOU,LOU,1,70,,,
TOP14,TOU,Benjamin BERTRAND,14,TOU,USAP,1,39,1,,
TOP14,TOU,Benjamin BERTRAND,17,TOU,SFP,17,25,,,
TOP14,TOU,Benjamin BERTRAND,21,TOU,CAS,17,43,1,,
TOP14,TOU,Benjamin BERTRAND,22,TOU,ASM,17,21,,,
TOP14,TOU,Benjamin BERTRAND,23,TOU,TOL,18,12,,,
TOP14,TOU,Benjamin BERTRAND,1,TOU,VAN,18,12,,,
TOP14,TOU,Benjamin BERTRAND,10,TOU,USAP,17,12,,,
TOP14,TOU,Benjamin BERTRAND,12,TOU,LOU,18,12,,,
TOP14,TOU,Benjamin BERTRAND,14,TOU,LAR,17,38,,,
TOP14,TOU,Benjamin BERTRAND,15,TOU,MHR,18,19,,,
TOP14,TOU,Benjamin BERTRAND,19,TOU,UBB,17,47,,,
TOP14,TOU,Benjamin BERTRAND,21,TOU,TOL,18,11,,,
TOP14,TOU,Benjamin BERTRAND,24,TOU,MHR,17,41,,,
TOP14,TOU,Cyril BAILLE,2,TOU,UBB,1,40,,,
TOP14,TOU,Cyril BAILLE,1,TOU,ASM,18,21,,,
TOP14,TOU,Cyril BAILLE,2,TOU,USAP,17,17,,,
TOP14,TOU,Cyril BAILLE,3,TOU,MHR,1,42,,,
TOP14,TOU,Cyril BAILLE,9,TOU,SFP,17,12,,,
TOP14,TOU,Cyril BAILLE,10,TOU,MTB,18,28,,,
TOP14,TOU,Cyril BAILLE,13,TOU,LAR,1,51,,,
TOP14,TOU,Cyril BAILLE,15,TOU,PAU,18,20,,,
TOP14,TOU,Cyril BAILLE,16,TOU,BAY,17,37,,,
TOP14,TOU,Cyril BAILLE,17,TOU,SFP,1,55,,,
TOP14,TOU,Cyril BAILLE,18,TOU,MTB,17,37,,,
TOP14,TOU,Cyril BAILLE,20,TOU,MHR,17,38,,,
TOP14,TOU,Cyril BAILLE,21,TOU,CAS,1,56,,,
TOP14,TOU,Cyril BAILLE,23,TOU,TOL,1,52,,,
TOP14,TOU,Cyril BAILLE,24,TOU,LAR,17,42,,,
TOP14,TOU,Cyril BAILLE,26,TOU,RAC,18,26,2,,
TOP14,TOU,Cyril BAILLE,14,TOU,LAR,3,37,,,
TOP14,TOU,Cyril BAILLE,20,TOU,PAU,1,43,,,
TOP14,TOU,Cyril BAILLE,22,TOU,CAS,17,27,,,
TOP14,TOU,Cyril BAILLE,23,TOU,TOL,18,36,,,
TOP14,TOU,Cyril BAILLE,24,TOU,RAC,17,45,,,
TOP14,TOU,Cyril BAILLE,25,TOU,LOU,18,43,,,
TOP14,TOU,Cyril BAILLE,26,TOU,USAP,1,61,,,
TOP14,TOU,Cyril BAILLE,6,TOU,USAP,17,26,,,
TOP14,TOU,Cyril BAILLE,7,TOU,CAS,1,41,,,
TOP14,TOU,Cyril BAILLE,8,TOU,ASM,17,29,,,
TOP14,TOU,Cyril BAILLE,9,TOU,SFP,1,45,,,
TOP14,TOU,Cyril BAILLE,10,TOU,TOL,17,47,,,
TOP14,TOU,Cyril BAILLE,12,TOU,LOU,17,47,,,
TOP14,TOU,Cyril BAILLE,19,TOU,UBB,17,39,,,
TOP14,TOU,Cyril BAILLE,20,TOU,PAU,18,36,1,,
TOP14,TOU,Cyril BAILLE,22,TOU,RAC,1,58,,,
TOP14,TOU,Cyril BAILLE,23,TOU,SFP,3,72,,,
TOP14,TOU,Cyril BAILLE,25,TOU,LAR,17,25,,,
TOP14,TOU,Cyril BAILLE,9,TOU,BAY,17,47,,,
TOP14,TOU,Cyril BAILLE,13,TOU,CAS,1,50,,,
TOP14,TOU,Cyril BAILLE,14,TOU,ASM,17,28,,,
TOP14,TOU,Cyril BAILLE,15,TOU,LAR,17,30,,,
TOP14,TOU,Cyril BAILLE,22,TOU,LOU,17,31,1,,
TOP14,TOU,Cyril BAILLE,24,TOU,UBB,1,42,,,
TOP14,TOU,Cyril BAILLE,25,TOU,USAP,18,15,,,
TOP14,TOU,Cyril BAILLE,1,TOU,LAR,1,44,,,
TOP14,TOU,Cyril BAILLE,2,TOU,TOL,1,57,,,
TOP14,TOU,Cyril BAILLE,3,TOU,MHR,17,42,,,
TOP14,TOU,Cyril BAILLE,4,TOU,ASM,1,29,,,
TOP14,TOU,Cyril BAILLE,5,TOU,BIA,17,40,,,
TOP14,TOU,Cyril BAILLE,6,TOU,PAU,17,36,,,
TOP14,TOU,Cyril BAILLE,7,TOU,LOU,1,27,,,
TOP14,TOU,Cyril BAILLE,8,TOU,CAS,1,58,,,
TOP14,TOU,Cyril BAILLE,12,TOU,UBB,17,50,,,
TOP14,TOU,Cyril BAILLE,14,TOU,ASM,1,56,,,
TOP14,TOU,Cyril BAILLE,16,TOU,RAC,1,71,,,
TOP14,TOU,Cyril BAILLE,21,TOU,LOU,18,20,,,
TOP14,TOU,Cyril BAILLE,22,TOU,CAS,1,62,,,
TOP14,TOU,Cyril BAILLE,24,TOU,LAR,1,29,,,
