competitionCode,teamShortName,playerName,profileUrl,seasonMatches,seasonStarts,seasonMinutes,seasonTries,seasonYellowCards,seasonRedCards,contractEndDate,careerHistory
TOP14,TOU,Benjamin BERTRAND,https://www.allrugby.com/joueurs/benjamin-bertrand-15364.html,1,0,31,,,,2023-06-30,Stade Toulousain (2023 - 2023) | Blagnac (2024 - 2024) | Stade Toulousain (2024 - 2027)
TOP14,TOU,Cyril BAILLE,https://www.allrugby.com/joueurs/cyril-baille-1089.html,1,1,53,1,,,2027-06-30,Stade Toulousain (2009 - 2027)
TOP14,TOU,David AINU'U,https://www.allrugby.com/joueurs/david-ainu-u-7053.html,16,7,631,1,,,2027-06-30,Stade Toulousain (2017 - 2027)
TOP14,TOU,Dorian ALDEGHERI,https://www.allrugby.com/joueurs/dorian-aldegheri-1196.html,1,1,62,,,,2027-06-30,Stade Toulousain (2004 - 2027)
TOP14,TOU,Georges-Henri COLOMBE,https://www.allrugby.com/joueurs/georges-henri-colombe-5276.html,2,0,39,1,,,2027-06-30,Racing 92 (2018 - 2022) | Stade Rochelais (2022 - 2025) | Stade Toulousain (2025 - 2027)
TOP14,TOU,Joël MERKLER,https://www.allrugby.com/joueurs/joel-merkler-8864.html,17,12,752,1,,,2027-06-30,Stade Toulousain (2017 - 2027)
TOP14,TOU,Luke TAGI,https://www.allrugby.com/joueurs/luke-tagi-8934.html,12,7,466,,,,,Provence Rugby (2021 - 2023) | Aviron Bayonnais (2023 - 2027)
TOP14,TOU,Malachi HAWKES,https://www.allrugby.com/joueurs/malachi-hawkes-11727.html,16,8,724,,,,2026-06-30,Stade Toulousain (2026 - 2026) | Provence Rugby (2026 - 2026) | Stade Toulousain (2026 - 2027)
TOP14,TOU,Martin VILLAR,https://www.allrugby.com/joueurs/martin-villar-15092.html,6,1,168,1,,,,Stade Montois Rugby Pro (2025 - 2025) | Aviron Bayonnais (2025 - 2025) | Oyonnax Rugby (2025 - 2027)
TOP14,TOU,Paul MALLEZ,https://www.allrugby.com/joueurs/paul-mallez-7696.html,1,1,52,,,,2024-06-30,Stade Toulousain (2024 - 2024) | Provence Rugby (2024 - 2025) | Stade Toulousain (2025 - 2027)
TOP14,TOU,Matis PERCHAUD,https://www.allrugby.com/joueurs/matis-perchaud-10981.html,2,1,121,,,,,Aviron Bayonnais (2017 - 2024) | Union Bordeaux-Bègles (2024 - 2027)
TOP14,TOU,Rodrigue NETI,https://www.allrugby.com/joueurs/rodrigue-neti-2375.html,2,1,83,,,,2027-06-30,Stade Toulousain (2012 - 2027)
TOP14,TOU,Pascal COTET,https://www.allrugby.com/joueurs/pascal-cotet-1906.html,2,2,102,,,,,Racing Club Narbonnais (2018 - 2022) | Aviron Bayonnais (2022 - 2026) | Provence Rugby (2026 - 2027)
TOP14,TOU,Julien MARCHAND,https://www.allrugby.com/joueurs/julien-marchand-2523.html,2,2,102,2,,,2027-06-30,Stade Toulousain (2010 - 2027)
TOP14,TOU,Pierre CASTILLON,https://www.allrugby.com/joueurs/pierre-castillon-17309.html,6,0,147,,,,,Aviron Bayonnais (2018 - 2027)
TOP14,TOU,Pieter SCHOLTZ,https://www.allrugby.com/joueurs/pieter-scholtz-6324.html,17,10,742,1,,,,Wasps (2021 - 2022) | Aviron Bayonnais (2022 - 2025) | Mitsubishi Sagamihara Dynaboars (2025 - 2026)
TOP14,TOU,Péato MAUVAKA,https://www.allrugby.com/joueurs/peato-mauvaka-4763.html,2,0,58,,,,2027-06-30,Stade Toulousain (2013 - 2027)
TOP14,TOU,Quentin BÉTHUNE,https://www.allrugby.com/joueurs/quentin-bethune-3326.html,8,2,201,,,,,Stade Français Paris Rugby (2019 - 2022) | Aviron Bayonnais (2022 - 2025)
TOP14,TOU,Clément VERGÉ,https://www.allrugby.com/joueurs/clement-verge-9776.html,23,13,1131,2,,,2027-06-30,Stade Toulousain (2018 - 2027)
TOP14,TOU,Swan CORMENIER,https://www.allrugby.com/joueurs/swan-cormenier-5203.html,1,0,35,,,,,Sporting Club Albigeois (2017 - 2019) | Aviron Bayonnais (2019 - 2027)
TOP14,TOU,Emmanuel MEAFOU,https://www.allrugby.com/joueurs/emmanuel-meafou-7337.html,2,2,99,1,,,2027-06-30,Stade Toulousain (2018 - 2027)
TOP14,TOU,Tevita TATAFU,https://www.allrugby.com/joueurs/tevita-tatafu-11206.html,2,1,75,1,,,,Aviron Bayonnais (2019 - 2027)
TOP14,TOU,Joshua BRENNAN,https://www.allrugby.com/joueurs/joshua-brennan-8294.html,2,1,111,,,,2027-06-30,Stade Toulousain (2012 - 2027)
TOP14,TOU,Facundo BOSCH,https://www.allrugby.com/joueurs/facundo-bosch-5142.html,20,15,867,2,,,,Stade Rochelais (2019 - 2022) | Aviron Bayonnais (2022 - 2027)
TOP14,TOU,Roméo MARTIN-BONNARD,https://www.allrugby.com/joueurs/romeo-martin-bonnard-18173.html,2,1,88,,,,2027-06-30,US Tyrosse (2021 - 2022) | Stade Toulousain (2022 - 2027)
TOP14,TOU,Thibaud FLAMENT,https://www.allrugby.com/joueurs/thibaud-flament-8962.html,2,1,110,,,,2027-06-30,Loughborough University (2018 - 2019) | Wasps (2019 - 2020) | Stade Toulousain (2020 - 2027)
TOP14,TOU,Louis ORTOLAN,https://www.allrugby.com/joueurs/louis-ortolan-12322.html,2,0,16,,,,,Aviron Bayonnais (2017 - 2024)
TOP14,TOU,Alexandre ROUMAT,https://www.allrugby.com/joueurs/alexandre-roumat-3699.html,2,2,144,,,,2027-06-30,Union Bordeaux-Bègles (2017 - 2022) | Stade Toulousain (2022 - 2027)
TOP14,TOU,Anthony JELONCH,https://www.allrugby.com/joueurs/anthony-jelonch-4142.html,10,9,639,3,,,2027-06-30,Castres Olympique (2014 - 2021) | Stade Toulousain (2021 - 2027)
TOP14,TOU,Thomas ACQUIER,https://www.allrugby.com/joueurs/thomas-acquier-1418.html,13,2,394,2,,,,CA Brive Corrèze Limousin (2014 - 2022) | Aviron Bayonnais (2022 - 2024) | US Tyrosse (2024 - 2026)
TOP14,TOU,François CROS,https://www.allrugby.com/joueurs/francois-cros-3419.html,2,2,152,,,,2027-06-30,Stade Toulousain (2009 - 2027)
