competitionCode,homeShortName,awayShortName,matchday,kickoffAt,status,homeScore,awayScore,homeTries,awayTries
PROD2,GRE,AGE,20260911,2026-09-11T19:00:00,FINISHED,33,39,,
PROD2,GRE,AGE,20260116,2026-01-16T20:00:00,FINISHED,45,36,,
PROD2,AGE,GRE,20250911,2025-09-11T19:00:00,FINISHED,38,20,,
PROD2,AGE,GRE,20250328,2025-03-28T18:00:00,FINISHED,29,23,,
PROD2,GRE,AGE,20241101,2024-11-01T20:00:00,FINISHED,37,10,,
PROD2,AGE,GRE,20240223,2024-02-23T20:00:00,FINISHED,40,3,,
PROD2,GRE,AGE,20230927,2023-09-27T19:00:00,FINISHED,24,19,,
PROD2,GRE,AGE,20230203,2023-02-03T20:00:00,FINISHED,20,16,,
PROD2,AGE,GRE,20220902,2022-09-02T19:00:00,FINISHED,11,16,,
PROD2,AGE,GRE,20220210,2022-02-10T19:45:00,FINISHED,30,9,,
PROD2,GRE,AGE,20210909,2021-09-09T18:45:00,FINISHED,17,13,,
PROD2,GRE,AGE,20190504,2019-05-04T16:00:00,FINISHED,11,29,,
PROD2,AGE,GRE,20181214,2018-12-14T18:30:00,FINISHED,14,10,,
PROD2,GRE,AGE,20181207,2018-12-07T19:45:00,FINISHED,22,15,,
PROD2,AGE,GRE,20181027,2018-10-27T16:00:00,FINISHED,9,9,,
PROD2,AGE,GRE,20160130,2016-01-30T17:30:00,FINISHED,27,33,,
PROD2,GRE,AGE,20151218,2015-12-18T18:30:00,FINISHED,48,45,,
PROD2,AGE,GRE,20151210,2015-12-10T19:45:00,FINISHED,20,40,,
PROD2,GRE,AGE,20150822,2015-08-22T16:30:00,FINISHED,38,23,,
PROD2,GRE,AGE,20130216,2013-02-16T17:30:00,FINISHED,27,13,,
PROD2,AGE,GRE,20120915,2012-09-15T16:30:00,FINISHED,32,26,,
PROD2,OYO,AGE,20260424,2026-04-24T19:00:00,FINISHED,39,12,,
PROD2,AGE,OYO,20251114,2025-11-14T18:30:00,FINISHED,23,27,,
PROD2,OYO,AGE,20250404,2025-04-04T17:00:00,FINISHED,30,34,,
PROD2,AGE,OYO,20241206,2024-12-06T18:30:00,FINISHED,28,14,,
PROD2,OYO,AGE,20230331,2023-03-31T19:00:00,FINISHED,37,29,,
PROD2,AGE,OYO,20221118,2022-11-18T20:00:00,FINISHED,9,24,,
PROD2,OYO,AGE,20220415,2022-04-15T17:30:00,FINISHED,54,35,,
PROD2,AGE,OYO,20211126,2021-11-26T19:45:00,FINISHED,14,19,,
PROD2,AGE,OYO,20180407,2018-04-07T18:45:00,FINISHED,36,21,,
PROD2,OYO,AGE,20170909,2017-09-09T16:00:00,FINISHED,12,10,,
PROD2,AGE,OYO,20170323,2017-03-23T19:45:00,FINISHED,26,31,,
PROD2,OYO,AGE,20161027,2016-10-27T18:45:00,FINISHED,21,16,,
PROD2,AGE,OYO,20160605,2016-06-05T18:45:00,FINISHED,23,19,,
PROD2,OYO,AGE,20160319,2016-03-19T17:00:00,FINISHED,30,28,,
PROD2,AIX,NAR,20260911,2026-09-11T17:30:00,FINISHED,47,42,,
PROD2,NAR,AIX,20220203,2022-02-03T18:00:00,FINISHED,34,33,,
PROD2,AIX,NAR,20210917,2021-09-17T17:30:00,FINISHED,15,18,,
PROD2,AIX,NAR,20160522,2016-05-22T12:20:00,FINISHED,19,18,,
PROD2,NAR,AIX,20150821,2015-08-21T17:30:00,FINISHED,36,18,,
PROD2,AIX,NAR,20130316,2013-03-16T17:30:00,FINISHED,28,22,,
PROD2,NAR,AIX,20121027,2012-10-27T16:30:00,FINISHED,22,24,,
PROD2,VAL,AIX,20260515,2026-05-15T19:00:00,FINISHED,21,34,,
PROD2,AIX,VAL,20250905,2025-09-05T17:30:00,FINISHED,30,33,,
PROD2,VAL,AIX,20250328,2025-03-28T18:30:00,FINISHED,63,7,,
PROD2,AIX,VAL,20241220,2024-12-20T18:30:00,FINISHED,34,24,,
PROD2,AIX,VAL,20240426,2024-04-26T17:30:00,FINISHED,43,8,,
PROD2,VAL,AIX,20231103,2023-11-03T18:30:00,FINISHED,15,24,,
PROD2,AIX,VAL,20210122,2021-01-22T18:00:00,FINISHED,28,13,,
PROD2,VAL,AIX,20201120,2020-11-20T18:00:00,FINISHED,13,14,,
PROD2,VAL,AIX,20200221,2020-02-21T19:00:00,FINISHED,17,22,,
PROD2,AIX,VAL,20191206,2019-12-06T19:00:00,FINISHED,26,23,,
PROD2,BRI,AUR,20260417,2026-04-17T17:30:00,FINISHED,75,9,,
PROD2,AUR,BRI,20251205,2025-12-05T18:30:00,FINISHED,24,13,,
PROD2,AUR,BRI,20250425,2025-04-25T17:30:00,FINISHED,23,39,,
PROD2,BRI,AUR,20240920,2024-09-20T17:30:00,FINISHED,48,17,,
PROD2,BRI,AUR,20240426,2024-04-26T17:30:00,FINISHED,45,13,,
PROD2,AUR,BRI,20231103,2023-11-03T18:30:00,FINISHED,23,14,,
PROD2,AUR,BRI,20190405,2019-04-05T18:00:00,FINISHED,14,11,,
PROD2,BRI,AUR,20180928,2018-09-28T18:00:00,FINISHED,36,14,,
PROD2,BRI,AUR,20130512,2013-05-12T13:10:00,FINISHED,30,14,,
PROD2,BRI,AUR,20130210,2013-02-10T13:00:00,FINISHED,13,9,,
PROD2,AUR,BRI,20120923,2012-09-23T16:30:00,FINISHED,27,20,,
PROD2,OYO,AUR,20260911,2026-09-11T17:30:00,FINISHED,52,17,,
PROD2,OYO,AUR,20260515,2026-05-15T19:00:00,FINISHED,36,25,,
PROD2,AUR,OYO,20251031,2025-10-31T18:30:00,FINISHED,22,20,,
PROD2,OYO,AUR,20250110,2025-01-10T18:30:00,FINISHED,25,10,,
PROD2,AUR,OYO,20241101,2024-11-01T18:30:00,FINISHED,24,23,,
PROD2,AUR,OYO,20230407,2023-04-07T17:30:00,FINISHED,27,25,,
PROD2,OYO,AUR,20221125,2022-11-25T18:00:00,FINISHED,45,3,,
PROD2,AUR,OYO,20220512,2022-05-12T18:45:00,FINISHED,25,21,,
PROD2,OYO,AUR,20211203,2021-12-03T18:30:00,FINISHED,32,15,,
PROD2,AUR,OYO,20210130,2021-01-30T17:00:00,FINISHED,22,16,,
PROD2,OYO,AUR,20201023,2020-10-23T17:00:00,FINISHED,46,17,,
PROD2,AUR,OYO,20191213,2019-12-13T19:00:00,FINISHED,15,12,,
PROD2,OYO,AUR,20190315,2019-03-15T19:00:00,FINISHED,46,6,,
PROD2,AUR,OYO,20180819,2018-08-19T14:15:00,FINISHED,20,19,,
PROD2,AUR,OYO,20170122,2017-01-22T13:15:00,FINISHED,24,26,,
PROD2,OYO,AUR,20161103,2016-11-03T19:45:00,FINISHED,24,19,,
PROD2,AUR,OYO,20130316,2013-03-16T17:30:00,FINISHED,23,22,,
PROD2,OYO,AUR,20121028,2012-10-28T17:30:00,FINISHED,36,20,,
PROD2,MTB,BEZ,20250508,2025-05-08T19:00:00,FINISHED,42,17,,
PROD2,BEZ,MTB,20241213,2024-12-13T18:00:00,FINISHED,34,20,,
PROD2,MTB,BEZ,20240209,2024-02-09T18:00:00,FINISHED,34,37,,
PROD2,BEZ,MTB,20231201,2023-12-01T18:30:00,FINISHED,43,13,,
PROD2,MTB,BEZ,20230317,2023-03-17T18:30:00,FINISHED,24,33,,
PROD2,BEZ,MTB,20220916,2022-09-16T17:30:00,FINISHED,43,33,,
PROD2,BEZ,MTB,20220317,2022-03-17T19:45:00,FINISHED,33,21,,
PROD2,MTB,BEZ,20210917,2021-09-17T17:30:00,FINISHED,37,11,,
PROD2,MTB,BEZ,20210305,2021-03-05T18:00:00,FINISHED,27,30,,
PROD2,BEZ,MTB,20201119,2020-11-19T18:00:00,FINISHED,36,9,,
PROD2,BEZ,MTB,20191206,2019-12-06T19:00:00,FINISHED,28,25,,
PROD2,MTB,BEZ,20181221,2018-12-21T19:00:00,FINISHED,18,20,,
PROD2,BEZ,MTB,20180921,2018-09-21T18:30:00,FINISHED,27,5,,
PROD2,BEZ,MTB,20180316,2018-03-16T19:30:00,FINISHED,12,12,,
PROD2,MTB,BEZ,20171020,2017-10-20T18:00:00,FINISHED,30,27,,
PROD2,BEZ,MTB,20170407,2017-04-07T18:00:00,FINISHED,9,24,,
PROD2,MTB,BEZ,20161021,2016-10-21T18:00:00,FINISHED,38,23,,
PROD2,MTB,BEZ,20160522,2016-05-22T12:20:00,FINISHED,13,22,,
PROD2,BEZ,MTB,20160107,2016-01-07T19:45:00,FINISHED,38,17,,
PROD2,BEZ,MTB,20150328,2015-03-28T17:30:00,FINISHED,38,13,,
PROD2,MTB,BEZ,20141221,2014-12-21T14:05:00,FINISHED,26,15,,
PROD2,BEZ,NEV,20260911,2026-09-11T17:30:00,FINISHED,21,20,,
PROD2,NEV,BEZ,20260403,2026-04-03T17:30:00,FINISHED,44,41,,
PROD2,BEZ,NEV,20250905,2025-09-05T17:30:00,FINISHED,49,12,,
PROD2,BEZ,NEV,20250307,2025-03-07T18:30:00,FINISHED,27,13,,
PROD2,NEV,BEZ,20241011,2024-10-11T17:30:00,FINISHED,28,23,,
PROD2,BEZ,NEV,20240510,2024-05-10T17:00:00,FINISHED,20,16,,
PROD2,NEV,BEZ,20230927,2023-09-27T17:45:00,FINISHED,25,22,,
PROD2,BEZ,NEV,20230217,2023-02-17T18:30:00,FINISHED,32,32,,
PROD2,NEV,BEZ,20221202,2022-12-02T18:30:00,FINISHED,23,19,,
PROD2,NEV,BEZ,20220211,2022-02-11T18:30:00,FINISHED,27,6,,
PROD2,BEZ,NEV,20210924,2021-09-24T17:30:00,FINISHED,25,7,,
PROD2,NEV,BEZ,20210514,2021-05-14T16:30:00,FINISHED,21,16,,
PROD2,BEZ,NEV,20210108,2021-01-08T19:45:00,FINISHED,25,30,,
PROD2,BEZ,NEV,20200110,2020-01-10T19:00:00,FINISHED,17,44,,
PROD2,NEV,BEZ,20191129,2019-11-29T19:00:00,FINISHED,16,13,,
PROD2,NEV,BEZ,20190411,2019-04-11T18:45:00,FINISHED,15,15,,
PROD2,BEZ,NEV,20181213,2018-12-13T19:45:00,FINISHED,12,9,,
PROD2,BEZ,NEV,20180415,2018-04-15T12:30:00,FINISHED,36,22,,
PROD2,NEV,BEZ,20171006,2017-10-06T18:00:00,FINISHED,12,19,,
PROD2,BIA,COL,20260910,2026-09-10T19:00:00,FINISHED,38,20,,
PROD2,BIA,COL,20260424,2026-04-24T17:00:00,FINISHED,31,14,,
PROD2,COL,BIA,20250904,2025-09-04T19:00:00,FINISHED,44,10,,
PROD2,BIA,COL,20250516,2025-05-16T19:00:00,FINISHED,35,27,,
PROD2,COL,BIA,20241220,2024-12-20T20:00:00,FINISHED,29,20,,
PROD2,COL,BIA,20240223,2024-02-23T18:30:00,FINISHED,51,14,,
PROD2,BIA,COL,20230817,2023-08-17T19:00:00,FINISHED,35,18,,
PROD2,COL,BIA,20230113,2023-01-13T20:00:00,FINISHED,23,17,,
PROD2,BIA,COL,20221021,2022-10-21T19:00:00,FINISHED,48,31,,
PROD2,BIA,COL,20210204,2021-02-04T19:45:00,FINISHED,33,16,,
PROD2,COL,BIA,20210128,2021-01-28T18:00:00,FINISHED,16,20,,
PROD2,COL,BIA,20191222,2019-12-22T13:15:00,FINISHED,22,15,,
PROD2,BIA,COL,20190412,2019-04-12T18:00:00,FINISHED,18,21,,
PROD2,COL,BIA,20180921,2018-09-21T18:00:00,FINISHED,27,10,,
PROD2,COL,BIA,20180323,2018-03-23T19:00:00,FINISHED,22,17,,
PROD2,BIA,COL,20171103,2017-11-03T19:30:00,FINISHED,36,13,,
PROD2,COL,BIA,20170420,2017-04-20T18:45:00,FINISHED,37,13,,
PROD2,BIA,COL,20160923,2016-09-23T18:30:00,FINISHED,34,26,,
PROD2,COL,BIA,20160327,2016-03-27T12:25:00,FINISHED,20,19,,
PROD2,BIA,COL,20160115,2016-01-15T18:30:00,FINISHED,26,3,,
PROD2,COL,BIA,20150425,2015-04-25T16:30:00,FINISHED,42,33,,
PROD2,BIA,COL,20141214,2014-12-14T14:00:00,FINISHED,30,3,,
PROD2,BIA,NEV,20260410,2026-04-10T17:30:00,FINISHED,38,41,,
PROD2,NEV,BIA,20250926,2025-09-26T17:30:00,FINISHED,38,24,,
PROD2,NEV,BIA,20250418,2025-04-18T17:00:00,FINISHED,35,15,,
PROD2,BIA,NEV,20241101,2024-11-01T18:30:00,FINISHED,43,14,,
PROD2,NEV,BIA,20240112,2024-01-12T18:00:00,FINISHED,29,27,,
PROD2,BIA,NEV,20231012,2023-10-12T19:00:00,FINISHED,17,16,,
PROD2,BIA,NEV,20230317,2023-03-17T20:10:00,FINISHED,23,28,,
PROD2,NEV,BIA,20220915,2022-09-15T19:00:00,FINISHED,22,22,,
PROD2,BIA,NEV,20210402,2021-04-02T18:45:00,FINISHED,23,12,,
PROD2,NEV,BIA,20201203,2020-12-03T19:45:00,FINISHED,37,18,,
PROD2,BIA,NEV,20200306,2020-03-06T19:45:00,FINISHED,13,15,,
PROD2,NEV,BIA,20190905,2019-09-05T18:45:00,FINISHED,33,26,,
PROD2,NEV,BIA,20190208,2019-02-08T19:30:00,FINISHED,20,16,,
PROD2,BIA,NEV,20180817,2018-08-17T18:30:00,FINISHED,19,16,,
PROD2,NEV,BIA,20180126,2018-01-26T19:00:00,FINISHED,26,12,,
PROD2,BIA,NEV,20170915,2017-09-15T18:00:00,FINISHED,32,20,,
PROD2,BRI,NIC,20260911,2026-09-11T17:30:00,FINISHED,38,17,,
PROD2,BRI,NIC,20250214,2025-02-14T18:30:00,FINISHED,29,10,,
PROD2,NIC,BRI,20241115,2024-11-15T18:30:00,FINISHED,16,26,,
PROD2,COL,DAX,20260403,2026-04-03T17:30:00,FINISHED,66,21,,
PROD2,DAX,COL,20251212,2025-12-12T18:30:00,FINISHED,13,8,,
PROD2,COL,DAX,20250117,2025-01-17T18:30:00,FINISHED,43,16,,
PROD2,DAX,COL,20240913,2024-09-13T17:30:00,FINISHED,25,24,,
PROD2,COL,DAX,20240209,2024-02-09T18:30:00,FINISHED,30,17,,
PROD2,DAX,COL,20230913,2023-09-13T17:30:00,FINISHED,25,6,,
PROD2,COL,DAX,20171222,2017-12-22T19:00:00,FINISHED,31,12,,
PROD2,DAX,COL,20171012,2017-10-12T18:45:00,FINISHED,30,25,,
PROD2,DAX,COL,20170113,2017-01-13T19:00:00,FINISHED,18,12,,
PROD2,COL,DAX,20161030,2016-10-30T13:15:00,FINISHED,46,22,,
PROD2,DAX,COL,20160129,2016-01-29T18:30:00,FINISHED,6,29,,
PROD2,COL,DAX,20151023,2015-10-23T17:30:00,FINISHED,29,9,,
PROD2,COL,DAX,20150201,2015-02-01T14:00:00,FINISHED,19,10,,
PROD2,DAX,COL,20141018,2014-10-18T16:30:00,FINISHED,16,34,,
PROD2,COL,DAX,20140112,2014-01-12T14:00:00,FINISHED,20,3,,
PROD2,DAX,COL,20130831,2013-08-31T16:30:00,FINISHED,18,15,,
PROD2,COL,DAX,20130126,2013-01-26T17:30:00,FINISHED,22,15,,
PROD2,DAX,COL,20120915,2012-09-15T16:30:00,FINISHED,24,25,,
PROD2,DAX,VAL,20260911,2026-09-11T17:30:00,FINISHED,27,20,,
PROD2,DAX,VAL,20260508,2026-05-08T17:30:00,FINISHED,31,33,,
PROD2,VAL,DAX,20250829,2025-08-29T17:30:00,FINISHED,36,23,,
PROD2,DAX,VAL,20250207,2025-02-07T18:30:00,FINISHED,17,23,,
PROD2,VAL,DAX,20240906,2024-09-06T17:30:00,FINISHED,29,32,,
PROD2,VAL,DAX,20240301,2024-03-01T18:30:00,FINISHED,30,7,,
PROD2,DAX,VAL,20231208,2023-12-08T18:30:00,FINISHED,18,16,,
