competitionCode,homeShortName,awayShortName,matchday,kickoffAt,status,homeScore,awayScore,homeTries,awayTries
PROD2,BIA,NIC,1,2026-08-27T19:00:00,FINISHED,36,5,4,1
PROD2,ANG,COL,1,2026-08-27T19:30:00,FINISHED,38,26,4,3
PROD2,BEZ,OYO,1,2026-08-27T19:30:00,FINISHED,21,31,3,3
PROD2,DAX,NAR,1,2026-08-27T19:30:00,FINISHED,57,19,9,3
PROD2,GRE,AUR,1,2026-08-27T19:30:00,FINISHED,57,33,8,5
PROD2,NEV,MTB,1,2026-08-27T19:30:00,FINISHED,21,25,2,3
PROD2,AIX,AGE,1,2026-08-27T21:00:00,FINISHED,44,10,6,1
PROD2,BRI,VAL,1,2026-08-28T21:00:00,FINISHED,23,21,2,2
PROD2,COL,AIX,2,2026-09-03T21:00:00,FINISHED,13,18,2,2
PROD2,MTB,GRE,2,2026-09-04T19:00:00,FINISHED,20,17,2,1
PROD2,AUR,DAX,2,2026-09-04T19:30:00,FINISHED,65,35,9,4
PROD2,NAR,NEV,2,2026-09-04T19:30:00,FINISHED,28,26,3,2
PROD2,NIC,BEZ,2,2026-09-04T19:30:00,FINISHED,43,6,6,0
PROD2,OYO,BIA,2,2026-09-04T19:30:00,FINISHED,47,25,6,2
PROD2,VAL,ANG,2,2026-09-04T19:30:00,FINISHED,39,22,6,2
PROD2,AGE,BRI,2,2026-09-04T21:00:00,FINISHED,14,37,2,3
PROD2,BIA,COL,3,2026-09-10T21:00:00,FINISHED,38,20,6,2
PROD2,ANG,MTB,3,2026-09-11T19:00:00,FINISHED,45,7,7,1
PROD2,AIX,NAR,3,2026-09-11T19:30:00,FINISHED,47,42,7,6
PROD2,BEZ,NEV,3,2026-09-11T19:30:00,FINISHED,21,20,2,3
PROD2,BRI,NIC,3,2026-09-11T19:30:00,FINISHED,38,17,6,2
PROD2,DAX,VAL,3,2026-09-11T19:30:00,FINISHED,27,20,3,2
PROD2,OYO,AUR,3,2026-09-11T19:30:00,FINISHED,52,17,8,2
PROD2,GRE,AGE,3,2026-09-11T21:00:00,FINISHED,33,39,5,5
PROD2,AUR,BRI,4,2026-09-17T21:00:00,SCHEDULED,,,,
PROD2,NIC,GRE,4,2026-09-18T19:00:00,SCHEDULED,,,,
PROD2,COL,DAX,4,2026-09-18T19:30:00,SCHEDULED,,,,
PROD2,MTB,BEZ,4,2026-09-18T19:30:00,SCHEDULED,,,,
PROD2,NAR,ANG,4,2026-09-18T19:30:00,SCHEDULED,,,,
PROD2,NEV,BIA,4,2026-09-18T19:30:00,SCHEDULED,,,,
PROD2,VAL,AIX,4,2026-09-18T19:30:00,SCHEDULED,,,,
PROD2,AGE,OYO,4,2026-09-18T21:00:00,SCHEDULED,,,,
PROD2,BRI,COL,5,2026-09-24T21:00:00,SCHEDULED,,,,
PROD2,BEZ,NAR,5,2026-09-25T19:00:00,SCHEDULED,,,,
PROD2,AIX,AUR,5,2026-09-25T19:30:00,SCHEDULED,,,,
PROD2,ANG,AGE,5,2026-09-25T19:30:00,SCHEDULED,,,,
PROD2,BIA,MTB,5,2026-09-25T19:30:00,SCHEDULED,,,,
PROD2,DAX,NIC,5,2026-09-25T19:30:00,SCHEDULED,,,,
PROD2,OYO,NEV,5,2026-09-25T19:30:00,SCHEDULED,,,,
PROD2,GRE,VAL,5,2026-09-25T21:00:00,SCHEDULED,,,,
PROD2,MTB,BRI,6,2026-10-08T21:00:00,SCHEDULED,,,,
PROD2,ANG,AIX,6,2026-10-09T19:00:00,SCHEDULED,,,,
