competitionCode,teamShortName,playerName,position,age,heightCm,weightKg,nationality,contractType,jiffStatus,contractEndDate
TOP14,TOU,Dorian ALDEGHERI,Pilier,32,,132,France,PRO,JIFF,2029-06-30
TOP14,TOU,Cyril BAILLE,Pilier,32,,131,France,PRO,JIFF,2029-06-30
TOP14,TOU,Rodrigue NETI,Pilier,31,,133,France,PRO,JIFF,2030-06-30
TOP14,TOU,Georges-Henri COLOMBE,Pilier,28,,138,France,PRO,JIFF,2030-06-30
TOP14,TOU,David AINU'U,Pilier,26,,132,Etats-Unis,PRO,JIFF,2029-06-30
TOP14,TOU,Paul MALLEZ,Pilier,25,,120,France,PRO,JIFF,2030-06-30
TOP14,TOU,Joël MERKLER,Pilier,24,,144,Espagne,PRO,JIFF,2030-06-30
TOP14,TOU,Malachi HAWKES,Pilier,23,,126,Australie,PRO,JIFF,2029-06-30
TOP14,TOU,Benjamin BERTRAND,Pilier,22,,141,France,ESPOIR,,2031-06-30
TOP14,TOU,Tomás RAPETTI,Pilier,21,,120,Argentine,ESPOIR,ESPOIR_NON_JIFF,2029-06-30
TOP14,TOU,Herman MEKENESE,Pilier,21,,119,France,ESPOIR,,2028-06-30
TOP14,TOU,Rafaël GALLARDO,Pilier,19,,92,France,ESPOIR,,2029-06-30
TOP14,TOU,Gaëtan GRANIÉ,Pilier,19,,131,France,ESPOIR,,2029-06-30
TOP14,TOU,Noa TINNIRELLO,Pilier,18,,129,France,ESPOIR,,2028-06-30
TOP14,TOU,Joe LAFARGE,Pilier,18,,106,France,ESPOIR,,2029-06-30
TOP14,TOU,Melvin WEVERS,Pilier,18,,123,Pays-Bas,ESPOIR,ESPOIR_NON_JIFF,2029-06-30
TOP14,TOU,Dylane GIGAN,Pilier,18,,112,France,ESPOIR,,2028-06-30
TOP14,TOU,Naïme SANS-NAHORT,Pilier,17,,135,France,ESPOIR,,2029-06-30
TOP14,TOU,Julien MARCHAND,Talonneur,31,,98,France,PRO,JIFF,2029-06-30
TOP14,TOU,Péato MAUVAKA,Talonneur,29,,101,France,PRO,JIFF,2031-06-30
