competitionCode,homeShortName,awayShortName,matchday,kickoffAt,status,homeScore,awayScore,homeTries,awayTries
TOP14,BAY,TOL,1,2026-09-05T19:05:00,FINISHED,27,26,3,2
TOP14,CAS,VAN,1,2026-09-05T19:05:00,FINISHED,29,20,3,2
TOP14,LOU,ASM,1,2026-09-05T19:05:00,FINISHED,40,36,4,5
TOP14,MHR,PAU,1,2026-09-05T19:05:00,FINISHED,19,27,3,3
TOP14,SFP,USAP,1,2026-09-05T19:05:00,FINISHED,28,26,4,2
TOP14,UBB,RAC,1,2026-09-05T21:15:00,FINISHED,64,5,10,1
TOP14,LAR,TOU,1,2026-09-06T21:05:00,FINISHED,30,27,3,3
TOP14,USAP,CAS,2,2026-09-12T16:35:00,FINISHED,43,29,6,4
TOP14,VAN,MHR,2,2026-09-12T16:35:00,FINISHED,12,26,2,3
TOP14,ASM,SFP,2,2026-09-12T16:35:00,FINISHED,25,16,3,1
TOP14,PAU,BAY,2,2026-09-12T16:35:00,FINISHED,70,28,10,4
TOP14,RAC,LOU,2,2026-09-12T16:35:00,FINISHED,31,48,4,8
TOP14,TOL,LAR,2,2026-09-12T21:00:00,FINISHED,20,21,3,2
TOP14,TOU,UBB,2,2026-09-13T21:05:00,FINISHED,48,12,8,2
TOP14,CAS,TOL,3,2026-09-19T14:30:00,SCHEDULED,,,,
TOP14,BAY,ASM,3,2026-09-19T16:35:00,SCHEDULED,,,,
TOP14,LAR,RAC,3,2026-09-19T16:35:00,SCHEDULED,,,,
TOP14,LOU,PAU,3,2026-09-19T16:35:00,SCHEDULED,,,,
TOP14,MHR,USAP,3,2026-09-19T16:35:00,SCHEDULED,,,,
TOP14,VAN,TOU,3,2026-09-19T21:00:00,SCHEDULED,,,,
TOP14,UBB,SFP,3,2026-09-20T21:05:00,SCHEDULED,,,,
TOP14,USAP,UBB,4,2026-09-26T14:30:00,SCHEDULED,,,,
TOP14,ASM,CAS,4,2026-09-26T16:35:00,SCHEDULED,,,,
TOP14,SFP,LOU,4,2026-09-26T16:35:00,SCHEDULED,,,,
TOP14,RAC,BAY,4,2026-09-26T16:35:00,SCHEDULED,,,,
TOP14,TOL,VAN,4,2026-09-26T16:35:00,SCHEDULED,,,,
TOP14,PAU,LAR,4,2026-09-26T21:00:00,SCHEDULED,,,,
TOP14,TOU,MHR,4,2026-09-27T21:05:00,SCHEDULED,,,,
TOP14,UBB,LOU,5,2026-10-03T14:30:00,SCHEDULED,,,,
TOP14,BAY,SFP,5,2026-10-03T16:35:00,SCHEDULED,,,,
TOP14,VAN,PAU,5,2026-10-03T16:35:00,SCHEDULED,,,,
TOP14,LAR,ASM,5,2026-10-03T16:35:00,SCHEDULED,,,,
TOP14,RAC,USAP,5,2026-10-03T16:35:00,SCHEDULED,,,,
TOP14,CAS,TOU,5,2026-10-03T21:00:00,SCHEDULED,,,,
TOP14,MHR,TOL,5,2026-10-04T21:05:00,SCHEDULED,,,,
TOP14,USAP,VAN,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,ASM,UBB,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,LOU,LAR,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,SFP,MHR,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,PAU,CAS,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,TOL,RAC,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,TOU,BAY,6,2026-10-10T16:35:00,SCHEDULED,,,,
TOP14,BAY,LOU,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,VAN,ASM,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,CAS,SFP,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,LAR,UBB,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,RAC,MHR,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,TOL,PAU,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,TOU,USAP,7,2026-10-24T16:35:00,SCHEDULED,,,,
TOP14,USAP,TOL,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,UBB,BAY,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,ASM,RAC,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,LOU,VAN,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,MHR,CAS,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,SFP,LAR,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,PAU,TOU,8,2026-10-31T16:35:00,SCHEDULED,,,,
TOP14,VAN,UBB,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,CAS,RAC,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,LAR,BAY,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,MHR,LOU,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,PAU,USAP,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,TOL,SFP,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,TOU,ASM,9,2026-11-07T16:35:00,SCHEDULED,,,,
TOP14,BAY,CAS,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,UBB,MHR,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,ASM,TOL,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,LAR,USAP,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,LOU,TOU,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,SFP,VAN,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,RAC,PAU,10,2026-11-28T16:35:00,SCHEDULED,,,,
TOP14,USAP,ASM,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,VAN,BAY,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,CAS,LOU,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,MHR,LAR,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,PAU,SFP,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,TOL,UBB,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,TOU,RAC,11,2026-12-05T16:35:00,SCHEDULED,,,,
TOP14,BAY,USAP,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,UBB,PAU,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,ASM,MHR,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,LAR,CAS,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,LOU,TOL,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,SFP,TOU,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,RAC,VAN,12,2026-12-19T16:35:00,SCHEDULED,,,,
TOP14,USAP,LOU,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,VAN,LAR,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,CAS,UBB,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,MHR,BAY,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,PAU,ASM,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,RAC,SFP,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,TOU,TOL,13,2026-12-26T16:35:00,SCHEDULED,,,,
TOP14,BAY,TOU,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,UBB,USAP,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,ASM,VAN,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,LAR,PAU,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,LOU,RAC,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,SFP,CAS,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,TOL,MHR,14,2027-01-02T16:35:00,SCHEDULED,,,,
TOP14,VAN,USAP,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,CAS,ASM,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,MHR,SFP,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,PAU,LOU,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,RAC,UBB,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,TOL,BAY,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,TOU,LAR,15,2027-01-23T16:35:00,SCHEDULED,,,,
TOP14,USAP,SFP,16,2027-01-30T16:35:00,SCHEDULED,,,,
TOP14,UBB,VAN,16,2027-01-30T16:35:00,SCHEDULED,,,,
TOP14,ASM,TOU,16,2027-01-30T16:35:00,SCHEDULED,,,,
